Close,Open,High,Low,Volume,ticker,date
2.825,2.827,2.849,2.816,-0.01,rf,4/13/18
2.843,2.783,2.843,2.772,0.02,rf,4/12/18
2.779,2.803,2.805,2.755,-0.01,rf,4/11/18
2.801,2.783,2.812,2.779,0.01,rf,4/10/18
2.781,2.786,2.814,2.772,0.00,rf,4/9/18
2.786,2.775,2.788,2.775,0.00,rf,4/8/18
2.775,2.817,2.83,2.768,-0.02,rf,4/6/18
2.834,2.808,2.838,2.805,0.01,rf,4/5/18
2.808,2.773,2.81,2.748,0.01,rf,4/4/18
2.781,2.737,2.79,2.735,0.02,rf,4/3/18
2.733,2.759,2.773,2.717,-0.01,rf,4/2/18
2.761,2.755,2.763,2.755,0.01,rf,4/1/18
2.741,2.784,2.792,2.739,-0.02,rf,3/29/18
2.783,2.781,2.79,2.743,0.00,rf,3/28/18
2.775,2.854,2.859,2.77,-0.03,rf,3/27/18
2.852,2.819,2.856,2.815,0.01,rf,3/26/18
2.821,2.817,2.823,2.817,0.00,rf,3/25/18
2.813,2.806,2.852,2.792,0.00,rf,3/23/18
2.823,2.881,2.889,2.799,-0.02,rf,3/22/18
2.881,2.89,2.936,2.87,-0.01,rf,3/21/18
2.9,2.855,2.901,2.852,0.02,rf,3/20/18
2.856,2.857,2.879,2.833,0.00,rf,3/19/18
2.855,2.845,2.92,2.845,0.00,rf,3/18/18
2.845,2.83,2.859,2.81,0.01,rf,3/16/18
2.826,2.819,2.835,2.797,0.00,rf,3/15/18
2.819,2.841,2.857,2.801,-0.01,rf,3/14/18
2.844,2.872,2.883,2.83,-0.01,rf,3/13/18
2.866,2.905,2.91,2.863,-0.01,rf,3/12/18
2.905,2.896,2.908,2.896,0.00,rf,3/11/18
2.896,2.872,2.914,2.868,0.01,rf,3/9/18
2.857,2.885,2.892,2.848,-0.01,rf,3/8/18
2.881,2.848,2.888,2.842,0.00,rf,3/7/18
2.886,2.88,2.906,2.857,0.00,rf,3/6/18
2.883,2.85,2.897,2.81,0.01,rf,3/5/18
2.848,2.85,2.85,2.846,-0.01,rf,3/4/18
2.868,2.819,2.87,2.793,0.02,rf,3/2/18
2.811,2.866,2.875,2.795,-0.02,rf,3/1/18
2.864,2.901,2.912,2.862,-0.01,rf,2/28/18
2.901,2.861,2.925,2.85,0.01,rf,2/27/18
2.864,2.875,2.875,2.831,0.00,rf,2/26/18
2.875,2.866,2.879,2.866,0.00,rf,2/25/18
2.866,2.926,2.937,2.861,-0.02,rf,2/23/18
2.919,2.946,2.948,2.904,-0.01,rf,2/22/18
2.952,2.891,2.957,2.877,0.02,rf,2/21/18
2.891,2.891,2.928,2.884,0.00,rf,2/20/18
2.889,2.888,2.891,2.888,0.01,rf,2/19/18
